Tenant,Location,Address,City,State,clean_address,full_address,lat,lon
Decks & Docks,"Foley, AL",10062 Tony Drive,Foley,AL,10062 Tony Drive,"10062 Tony Drive, Foley, AL, USA",30.3707524,-87.6682568
Decks & Docks,"Selbyville, DE",36834 Dupont Blvd,Selbyville,DE,36834 Dupont Blvd,"36834 Dupont Blvd, Selbyville, DE, USA",38.4719862,-75.2353443
Decks & Docks,"Cape Coral, FL",1921 SW Pine Island Rd,Cape Coral,FL,1921 SW Pine Island Rd,"1921 SW Pine Island Rd, Cape Coral, FL, USA",26.6378608,-82.0140023
Decks & Docks,"Clearwater, FL",1281 Court St.,Clearwater,FL,1281 Court St.,"1281 Court St., Clearwater, FL, USA",27.9607368,-82.7842452
Decks & Docks,"Daytona Beach, FL",5589 S Ridgewood Avenue,Port Orange,FL,5589 S Ridgewood Avenue,"5589 S Ridgewood Avenue, Port Orange, FL, USA",29.115863,-80.9739265
Decks & Docks,"Florida Keys (Big Pine Key, FL)",30641 Overseas Hwy,Big Pine Key,FL,30641 Overseas Hwy,"30641 Overseas Hwy, Big Pine Key, FL, USA",24.6696798,-81.3533383
Decks & Docks,"Fort Lauderdale, FL",2920 SW 4th Ave,Fort Lauderdale,FL,2920 SW 4th Ave,"2920 SW 4th Ave, Fort Lauderdale, FL, USA",26.0874701,-80.1464852
Decks & Docks,"Fort Pierce, FL",253 Georgia Ave.,Fort Pierce,FL,253 Georgia Ave.,"253 Georgia Ave., Fort Pierce, FL, USA",27.4396672,-80.3292152
Decks & Docks,"Jacksonville, FL",5936 Philips Hwy,Jacksonville,FL,5936 Philips Hwy,"5936 Philips Hwy, Jacksonville, FL, USA",30.2618595,-81.6161545
Decks & Docks,"Merritt Island, FL",3480 N Courtenay Pkwy.,Merritt Island,FL,3480 N Courtenay Pkwy.,"3480 N Courtenay Pkwy., Merritt Island, FL, USA",28.360276,-80.7002959
Decks & Docks,"Naples, FL",3750 Exchange Ave.,Naples,FL,3750 Exchange Ave.,"3750 Exchange Ave., Naples, FL, USA",26.1586699,-81.7618324
Decks & Docks,"Orlando, FL",5790 Beggs Road,Lockhart,FL,5790 Beggs Road,"5790 Beggs Road, Lockhart, FL, USA",28.6254593,-81.4490268
Decks & Docks,"Panama City Beach, FL",306 E 25th St,Lynn Haven,FL,306 E 25th St,"306 E 25th St, Lynn Haven, FL, USA",30.2204973,-85.6473559
Decks & Docks,"Sarasota, FL",2041 20th St.,Sarasota,FL,2041 20th St.,"2041 20th St., Sarasota, FL, USA",27.3552837,-82.5295984
Decks & Docks,"St. Petersburg, FL",4801 95th St. N,St. Petersburg,FL,4801 95th St. N,"4801 95th St. N, St. Petersburg, FL, USA",27.817410823311043,-82.77080214500543
Decks & Docks,"West Palm Beach, FL",1011 Fairfield Dr.,West Palm Beach,FL,1011 Fairfield Dr.,"1011 Fairfield Dr., West Palm Beach, FL, USA",26.76337770286481,-80.06801184687569
Decks & Docks,"Savannah, GA",3109 W Bay St,Savannah,GA,3109 W Bay St,"3109 W Bay St, Savannah, GA, USA",32.0951092,-81.1368688
Decks & Docks,"Des Moines, IA",1616 Fuller Road West,Des Moines,IA,1616 Fuller Road West,"1616 Fuller Road West, Des Moines, IA, USA",41.5653606,-93.7264856
Decks & Docks,"Indianapolis, IN",4322 W 96th St.,Indianapolis,IN,4322 W 96th St.,"4322 W 96th St., Indianapolis, IN, USA",39.9268485,-86.2339131
Decks & Docks,"Overland Park, KS",7068 W 105th Street,Overland Park,KS,7068 W 105th Street,"7068 W 105th Street, Overland Park, KS, USA",38.9385085,-94.6666585
Decks & Docks,"Park City, KS",120 W 61st St N,Park City,KS,120 W 61st St N,"120 W 61st St N, Park City, KS, USA",37.7959808,-97.3362886
Decks & Docks,"Wichita, KS",10051 W 21st St #101,Wichita,KS,10051 W 21st St,"10051 W 21st St, Wichita, KS, USA",37.7221572,-97.4592499
Decks & Docks,"Baltimore, MD",1615 Wicomico Street,Baltimore,MD,1615 Wicomico Street,"1615 Wicomico Street, Baltimore, MD, USA",39.2742675,-76.6357135
Decks & Docks,"Kansas City, MO",8620 E US Hwy 40,Kansas City,MO,8620 E US Hwy 40,"8620 E US Hwy 40, Kansas City, MO, USA",39.0341235,-94.375993
Decks & Docks,"Lake of the Ozarks, MO",4277 Old Route 5,Camdenton,MO,4277 Old Route 5,"4277 Old Route 5, Camdenton, MO, USA",38.0518351,-92.7825219
Decks & Docks,"North Kansas City, MO",8610 N Boardwalk Avenue,Kansas City,MO,8610 N Boardwalk Avenue,"8610 N Boardwalk Avenue, Kansas City, MO, USA",39.2525494,-94.6536697
Decks & Docks,"Gulfport, MS",1930 31st St.,Gulfport,MS,1930 31st St.,"1930 31st St., Gulfport, MS, USA",30.3884712,-89.0858924
Decks & Docks,"Charlotte, NC",6381 Denver Industrial Park Rd.,Denver,NC,6381 Denver Industrial Park Rd.,"6381 Denver Industrial Park Rd., Denver, NC, USA",35.542538,-81.0373436
Decks & Docks,"New Bern, NC",607 Hwy 17,New Bern,NC,607 Hwy 17,"607 Hwy 17, New Bern, NC, USA",35.123054055730435,-77.02053051783027
Decks & Docks,"Outer Banks, NC",124 Greyson Loop,Powells Point,NC,124 Greyson Loop,"124 Greyson Loop, Powells Point, NC, USA",36.15216744400053,-75.83745600245996
Decks & Docks,"Wilmington, NC",407 Landmark Dr.,Wilmington,NC,407 Landmark Dr.,"407 Landmark Dr., Wilmington, NC, USA",34.1823392,-77.9352221
Decks & Docks,"Lincoln, NE",3160 N 33rd Street,Lincoln,NE,3160 N 33rd Street,"3160 N 33rd Street, Lincoln, NE, USA",40.8447599,-96.6722547
Decks & Docks,"Barnegat, NJ",455 N Main St A,Barnegat,NJ,455 N Main St A,"455 N Main St A, Barnegat, NJ, USA",39.76104106822012,-74.22014641399898
Decks & Docks,"Butler, NJ","140 Hamburg Turnpike, Suite A",Butler,NJ,140 Hamburg Turnpike,"140 Hamburg Turnpike, Butler, NJ, USA",41.0133773,-74.3576484
